,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095
2016/07/13,19.075,18.872,18.61,18.436,18.107,17.987,17.685,17.385,17.202,16.978,16.673,16.401,16.16,15.855,15.596,15.261,15.011,14.722,14.523,14.33,13.973,13.735,13.587,13.353,13.058
2016/07/15,19.112,18.833,18.629,18.444,18.142,17.893,17.661,17.323,17.104,16.874,16.576,16.31,16.101,15.784,15.471,15.269,14.952,14.579,14.362,14.058,13.838,13.596,13.25,13.079,12.895
2016/07/20,18.676,18.453,18.207,17.984,17.736,17.517,17.289,17.114,16.833,16.604,16.313,16.071,15.83,15.527,15.214,14.974,14.73,14.483,14.189,13.91,13.617,13.396,13.161,12.9,12.747
2016/08/19,18.28,18.116,17.911,17.739,17.561,17.348,17.163,16.956,16.777,16.538,16.331,16.165,15.968,15.682,15.557,15.322,15.089,14.878,14.653,14.442,14.248,14.018,13.793,13.578,13.364
2016/09/16,18.361,18.178,17.995,17.827,17.659,17.425,17.292,17.123,16.949,16.747,16.618,16.383,16.197,16.004,15.842,15.643,15.477,15.268,15.092,14.894,14.69,14.517,14.311,14.116,13.959
2016/10/21,18.46,18.347,18.19,18.033,17.876,17.72,17.566,17.412,17.258,17.104,16.955,16.807,16.659,16.512,16.329,16.147,15.988,15.83,15.67,15.51,15.351,15.197,15.037,14.877,14.718
2016/12/16,18.469,18.344,18.22,18.095,17.971,17.846,17.714,17.583,17.451,17.319,17.187,17.066,16.946,16.825,16.705,16.584,16.454,16.324,16.194,16.064,15.934,15.804,15.674,15.544,15.417
2017/01/20,18.421,18.304,18.187,18.07,17.952,17.835,17.719,17.602,17.486,17.369,17.253,17.134,17.015,16.896,16.778,16.659,16.541,16.423,16.305,16.187,16.069,15.955,15.841,15.728,15.614
2017/03/17,18.682,18.579,18.477,18.374,18.271,18.169,18.062,17.956,17.85,17.743,17.637,17.536,17.435,17.334,17.233,17.132,17.026,16.921,16.815,16.71,16.604,16.483,16.362,16.241,16.119
2017/06/16,18.965,18.874,18.783,18.693,18.602,18.512,18.419,18.326,18.233,18.141,18.048,17.964,17.88,17.796,17.712,17.628,17.538,17.447,17.357,17.266,17.176,17.086,16.995,16.905,16.814
2017/12/15,19.251,19.176,19.101,19.026,18.952,18.877,18.805,18.734,18.663,18.591,18.52,18.446,18.373,18.299,18.226,18.152,18.083,18.013,17.943,17.874,17.804,17.73,17.657,17.583,17.51
2018/06/15,19.549,19.45,19.351,19.251,19.152,19.053,18.994,18.935,18.876,18.817,18.758,18.743,18.728,18.713,18.698,18.684,18.583,18.483,18.383,18.283,18.183,18.126,18.068,18.011,17.954